Train MetricGAN+-pesq
Train set:11572, Valid set:0, Test set:824
Model parameters:1.896M
Train MetricGAN+-pesq
Train set:11572, Valid set:0, Test set:824
Model parameters:1.896M
Epoch:657 | Test PESQ:3.050 | Test CSIG:4.152 | Test CBAK:3.021 | Test COVL:3.595
Epoch:658 | Test PESQ:3.088 | Test CSIG:4.167 | Test CBAK:3.088 | Test COVL:3.622
Epoch:659 | Test PESQ:3.005 | Test CSIG:4.123 | Test CBAK:3.036 | Test COVL:3.557
Epoch:660 | Test PESQ:3.008 | Test CSIG:4.111 | Test CBAK:3.034 | Test COVL:3.553
Epoch:661 | Test PESQ:3.035 | Test CSIG:4.147 | Test CBAK:3.069 | Test COVL:3.583
Epoch:662 | Test PESQ:3.062 | Test CSIG:4.110 | Test CBAK:3.128 | Test COVL:3.576
Epoch:663 | Test PESQ:3.053 | Test CSIG:4.172 | Test CBAK:3.034 | Test COVL:3.605
Epoch:664 | Test PESQ:3.062 | Test CSIG:4.155 | Test CBAK:3.081 | Test COVL:3.601
Epoch:665 | Test PESQ:3.050 | Test CSIG:4.157 | Test CBAK:3.056 | Test COVL:3.595
Epoch:666 | Test PESQ:3.063 | Test CSIG:4.162 | Test CBAK:3.081 | Test COVL:3.606
Epoch:667 | Test PESQ:3.058 | Test CSIG:4.129 | Test CBAK:3.030 | Test COVL:3.582
Epoch:668 | Test PESQ:3.050 | Test CSIG:4.116 | Test CBAK:3.089 | Test COVL:3.575
Epoch:669 | Test PESQ:3.058 | Test CSIG:4.139 | Test CBAK:3.079 | Test COVL:3.591
Epoch:670 | Test PESQ:3.032 | Test CSIG:4.129 | Test CBAK:3.037 | Test COVL:3.573
Epoch:671 | Test PESQ:3.088 | Test CSIG:4.158 | Test CBAK:3.135 | Test COVL:3.616
Epoch:672 | Test PESQ:3.102 | Test CSIG:4.144 | Test CBAK:3.111 | Test COVL:3.616
Epoch:673 | Test PESQ:3.064 | Test CSIG:4.135 | Test CBAK:3.041 | Test COVL:3.591
Epoch:674 | Test PESQ:3.073 | Test CSIG:4.149 | Test CBAK:3.091 | Test COVL:3.604
Epoch:675 | Test PESQ:3.067 | Test CSIG:4.122 | Test CBAK:3.074 | Test COVL:3.585
Epoch:676 | Test PESQ:3.066 | Test CSIG:4.123 | Test CBAK:3.051 | Test COVL:3.585
Epoch:677 | Test PESQ:3.042 | Test CSIG:4.150 | Test CBAK:3.053 | Test COVL:3.591
Epoch:678 | Test PESQ:3.038 | Test CSIG:4.111 | Test CBAK:3.016 | Test COVL:3.565
Epoch:679 | Test PESQ:3.102 | Test CSIG:4.143 | Test CBAK:3.116 | Test COVL:3.615
Epoch:680 | Test PESQ:3.091 | Test CSIG:4.149 | Test CBAK:3.084 | Test COVL:3.614
